[INFO] 12:48:59:386 CPU/(28165:28166): CPU conectada al Planificador, idCpu: 0
[INFO] 12:48:59:409 CPU/(28165:28166): CPU conectada a Memoria, idCpu: 0
[INFO] 12:49:17:106 CPU/(28165:28166): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:22:217 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:27:237 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:32:241 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:37:246 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:42:250 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:47:255 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:52:257 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:49:57:259 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:02:263 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:07:268 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:12:270 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:17:273 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:22:275 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:27:277 CPU/(28165:28166): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:50:32:282 CPU/(28165:28166): Instruccion: I/O, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:51:34:300 CPU/(28165:28166): Instruccion: FINALIZAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:54:11:502 CPU/(28339:28340): CPU conectada al Planificador, idCpu: 0
[INFO] 12:54:11:525 CPU/(28339:28340): CPU conectada a Memoria, idCpu: 0
[INFO] 12:54:19:658 CPU/(28339:28340): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 12:54:24:690 CPU/(28339:28340): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 12:54:26:709 CPU/(28339:28340): Instruccion: INICIAR, Proceso: 2, CPU: 0, exito: Exito 
